unix_time,frame_ts_us,id,cx,cy,vx,vy,bx,by,pbx,pby,w,h,processing_time
1763666219.016917,2145000,3,466.2991638183594,337.0325012207031,-51.78105,14.116812,23,16,22,16,47,40,0.0
1763666219.016917,2145000,4,121.91304016113281,399.531982421875,-45.91376,42.948856,6,19,5,20,51,52,0.0
1763666219.016917,2145000,5,259.0308837890625,340.08990478515625,-21.336037,-70.55543,12,17,12,16,38,56,0.0
1763666219.0548754,2180000,1,136.80166625976562,239.8288116455078,-22.801847,47.478275,6,11,6,12,40,56,0.0
1763666219.0548754,2180000,2,317.3544006347656,248.69711303710938,33.84883,36.392033,15,12,16,12,42,51,0.0
1763666219.0548754,2180000,3,464.69708251953125,337.5941467285156,-44.318798,15.536947,23,16,22,16,47,41,0.0
1763666219.0548754,2180000,4,120.28954315185547,400.8065490722656,-44.911224,35.258675,6,20,5,20,51,52,0.0
1763666219.0548754,2180000,5,258.72198486328125,338.20355224609375,-8.545153,-52.182667,12,16,12,16,39,57,0.0
1763666219.0879683,2215000,1,135.9326171875,241.3439178466797,-26.857967,46.824368,6,12,6,12,38,57,0.0
1763666219.0879683,2215000,2,318.5285339355469,250.52139282226562,36.2866,56.37938,15,12,16,12,39,52,0.0
1763666219.0879683,2215000,3,462.2093200683594,338.27227783203125,-76.884315,20.957647,23,16,22,17,48,41,0.0
1763666219.0879683,2215000,4,118.3962173461914,402.3498840332031,-58.51325,47.696777,5,20,5,20,49,53,0.0
1763666219.0879683,2215000,5,258.1785583496094,336.1153869628906,-16.794601,-64.53477,12,16,12,16,38,56,0.0
1763666219.1193454,2245000,1,135.2877197265625,243.97889709472656,-20.295296,82.92432,6,12,6,12,37,58,0.0
1763666219.1193454,2245000,2,319.6629943847656,252.52586364746094,35.702126,63.081852,15,12,16,13,39,53,0.0
1763666219.1193454,2245000,3,460.1852111816406,338.950439453125,-63.699875,21.342136,23,16,22,17,48,41,0.0
1763666219.1193454,2245000,4,116.00833892822266,404.1481628417969,-75.14791,56.59287,5,20,5,20,52,52,0.0
1763666219.1193454,2245000,5,257.6842346191406,333.75433349609375,-15.556653,-74.30371,12,16,12,16,37,56,0.0
1763666219.154645,2280000,1,134.74960327148438,245.86880493164062,-15.138363,53.167137,6,12,6,12,38,56,0.0
1763666219.154645,2280000,2,320.7786560058594,254.31382751464844,31.38594,50.299236,16,12,16,13,40,52,0.0
1763666219.154645,2280000,3,458.468505859375,339.466064453125,-48.294582,14.5056305,22,16,22,17,48,41,0.0
1763666219.154645,2280000,4,114.09589385986328,405.74688720703125,-53.80116,44.975525,5,20,5,20,51,52,0.0
1763666219.154645,2280000,5,257.4814453125,331.98809814453125,-5.7048955,-49.687965,12,16,12,16,37,57,0.0
1763666219.184891,2315000,1,133.9298095703125,248.14195251464844,-25.26202,70.04726,6,12,6,12,37,56,0.0
1763666219.184891,2315000,2,322.0378723144531,256.3141174316406,38.802868,61.639122,16,12,16,13,39,54,0.0
1763666219.184891,2315000,3,456.595947265625,339.900390625,-57.703068,13.383801,22,16,22,17,50,41,0.0
1763666219.184891,2315000,4,111.91134643554688,407.30377197265625,-67.31703,47.975548,5,20,5,20,53,51,0.0
1763666219.184891,2315000,5,257.0458068847656,329.49188232421875,-13.424239,-76.92113,12,16,12,15,37,58,0.0
1763666219.218106,2345000,1,132.72900390625,250.40687561035156,-37.220886,70.2049,6,12,6,13,38,55,0.0
1763666219.218106,2345000,2,322.8692932128906,258.08111572265625,25.771215,54.770927,16,12,16,13,38,55,0.0
1763666219.218106,2345000,3,454.9337158203125,340.22283935546875,-51.52351,9.994812,22,17,22,17,50,41,0.0
1763666219.218106,2345000,4,109.97872161865234,408.84912109375,-59.904785,47.90056,5,20,5,20,54,52,0.0
1763666219.218106,2345000,5,256.7324523925781,327.51824951171875,-9.712922,-61.17589,12,16,12,15,37,60,0.0
1763666219.2554634,2380000,1,131.59600830078125,252.2672882080078,-31.988583,52.526207,6,12,6,13,39,52,0.0
1763666219.2554634,2380000,2,323.659912109375,260.13775634765625,22.322044,58.06644,16,13,16,13,39,56,0.0
1763666219.2554634,2380000,3,453.3273010253906,340.515625,-45.354927,8.266403,22,17,22,17,49,40,0.0
1763666219.2554634,2380000,4,108.42940521240234,410.0260314941406,-43.742832,33.22846,5,20,5,20,52,51,0.0
1763666219.2554634,2380000,5,256.68463134765625,325.80865478515625,-1.3501619,-48.268074,12,16,12,15,37,58,0.0
1763666219.2872164,2415000,1,130.5853729248047,253.71875,-31.446867,45.163597,6,12,6,13,40,52,0.0
1763666219.2872164,2415000,2,324.16973876953125,262.4282531738281,15.863735,71.27096,16,13,16,13,36,59,0.0
1763666219.2872164,2415000,3,451.1640625,339.9300231933594,-67.311195,-18.22155,22,16,22,16,50,45,0.0
1763666219.2872164,2415000,4,105.50240325927734,411.1931457519531,-91.07641,36.315857,5,20,4,20,52,52,0.0
